cluster_id,ts,severity,source,message
a9b62aad-5e00-5e6a-8feb-a1e62991190f,2026-09-12T01:00:00,info,vcenter,vSphere HA re-established cluster heartbeat
cda9e1ab-2de0-5758-9426-af6716f27361,2026-09-12T02:20:00,info,vcenter,Snapshot consolidation completed
354eab6d-b791-553e-98d4-1740bd629a71,2026-09-12T05:00:00,info,vcenter,NTP time sync warning cleared
3a07cdb1-d4e1-5c6f-a317-ec38ce02a224,2026-09-12T10:05:00,warning,vsan-health,vSAN health: memory or SSD congestion reached threshold limit
3a07cdb1-d4e1-5c6f-a317-ec38ce02a224,2026-09-12T15:00:00,info,vcenter,Host exited maintenance mode
354eab6d-b791-553e-98d4-1740bd629a71,2026-09-12T15:10:00,warning,vsan-health,vSAN health: network latency check - ping latency above 5ms threshold
a9b62aad-5e00-5e6a-8feb-a1e62991190f,2026-09-13T06:00:00,info,vcenter,vSAN: resync operations in progress following host exit from maintenance mode
a9b62aad-5e00-5e6a-8feb-a1e62991190f,2026-09-13T07:25:00,info,vcenter,vSAN: resync operations complete
cda9e1ab-2de0-5758-9426-af6716f27361,2026-09-13T10:33:00,warning,vsan-health,"vSAN health: capacity utilization on vSAN datastore (yellow, >70%)"
cda9e1ab-2de0-5758-9426-af6716f27361,2026-09-13T16:48:00,warning,vsan-health,"vSAN health: host component count approaching per-host limit (yellow, 80-90%)"
cda9e1ab-2de0-5758-9426-af6716f27361,2026-09-13T21:07:00,critical,vsan-health,"vSAN health: capacity utilization on vSAN datastore (red, >90%)"
